id	type	delay	answer	success	elapsed
234	1	400	no	true	933
235	4	300	no	true	1025
236	3	100	si	false	802
237	4	100	si	false	2500
238	2	300	no	true	1014
239	2	400	no	true	1241
240	1	800	no	true	1069
241	3	300	no	true	979
242	0	0	si	true	898
243	1	300	no	true	1654
244	3	50	si	false	2027
245	5	300	no	true	1114
246	1	50	si	false	1249
247	6	200	si	false	902
248	2	800	no	true	1018
249	5	300	si	false	1279
250	3	800	no	true	930
251	4	200	no	true	1038
252	4	200	no	true	1949
253	3	50	si	false	2694
254	5	800	no	true	1304
255	2	200	si	false	2053
256	3	400	no	true	912
257	4	400	no	true	983
258	2	100	si	false	1601
259	1	800	no	true	966
260	6	50	si	false	993
261	2	400	no	true	1202
262	0	0	si	true	1250
263	6	100	si	false	1653
264	0	0	si	true	1647
265	1	400	no	true	945
266	2	100	si	false	1179
267	2	400	no	true	1041
268	5	100	si	false	994
269	6	800	no	true	1062
270	3	300	no	true	1455
271	2	800	no	true	1135
272	5	50	si	false	1578
273	5	200	si	false	1466
274	5	50	si	false	901
275	1	50	si	false	2007
276	4	1200	no	true	1257
277	2	800	no	true	1104
278	5	300	no	true	1465
279	3	800	no	true	1050
280	1	300	no	true	897
281	6	50	si	false	2848
282	3	200	no	true	1154
283	2	50	si	false	1930
284	1	800	no	true	963
285	5	1200	no	true	1627
286	2	50	si	false	1264
287	5	400	si	false	1005
288	6	1200	no	true	1162
289	1	100	si	false	887
290	6	300	si	false	1017
291	1	200	si	false	1160
292	5	200	si	false	1095
293	1	50	si	false	1188
294	0	0	si	true	1228
295	4	200	si	false	1152
296	6	100	si	false	897
297	1	300	no	true	1462
298	4	50	si	false	1230
299	6	200	si	false	989
300	3	400	si	false	1061
301	6	800	no	true	1135
302	0	0	si	true	1286
303	3	300	no	true	1030
304	4	800	no	true	1060
305	4	100	si	false	1035
306	1	200	si	false	970
307	6	400	si	false	1034
308	5	400	si	false	1147
309	4	100	si	false	1531
310	0	0	si	true	912
311	5	100	si	false	1258
312	2	300	si	false	1080
313	6	400	si	false	1042
314	5	1200	no	true	1035
315	1	400	no	true	1047
316	0	0	si	true	1059
317	5	800	no	true	905
318	4	1200	no	true	980
319	1	100	si	false	1905
320	4	50	si	false	1074
321	4	400	no	true	964
322	4	300	no	true	958
323	2	200	si	false	1296
324	3	100	si	false	951
325	4	300	si	false	1254
326	6	1200	no	true	1090
327	3	800	no	true	1012
328	6	200	si	false	882
329	6	300	si	false	1119
330	3	100	si	false	957
331	3	200	si	false	1030
332	2	300	no	true	1525
333	3	50	si	false	950
334	5	300	si	false	1065
335	4	800	si	false	3851
