id	type	delay	answer	success	elapsed
135	6	400	no	true	1659
136	6	400	no	true	1284
137	1	800	no	true	1672
138	2	100	si	false	1291
139	3	100	si	false	1164
140	5	100	si	false	1595
141	2	200	si	false	3605
142	4	100	si	false	1907
143	0	0	si	true	1259
144	6	1200	no	true	1357
145	5	800	no	true	1090
146	2	50	si	false	1190
147	4	1200	no	true	1091
148	1	400	si	false	1421
149	3	800	no	true	1226
150	2	800	si	false	1066
151	5	800	no	true	1225
152	4	800	no	true	1306
153	1	50	si	false	1206
154	1	300	si	false	1010
155	5	300	si	false	1294
156	2	400	si	false	1083
157	2	50	si	false	1634
158	4	300	si	false	1213
159	6	50	si	false	1103
160	3	50	si	false	737
161	4	200	si	false	1087
162	3	800	no	true	941
163	2	300	si	false	847
164	3	100	si	false	1257
165	3	200	si	false	1379
166	1	400	no	true	1051
167	0	0	si	true	1295
168	5	50	si	false	830
169	4	400	si	false	766
170	6	300	si	false	1471
171	2	200	si	false	685
172	0	0	si	true	893
173	2	100	si	false	845
174	2	50	si	false	1093
175	3	100	si	false	655
176	5	300	si	false	665
177	5	800	no	true	2023
178	6	400	si	false	1178
179	2	800	no	true	2084
180	1	100	si	false	1191
181	1	800	no	true	1058
182	1	50	si	false	1094
183	1	300	no	true	1550
184	6	800	no	true	1021
185	5	100	si	false	1682
186	2	800	no	true	1120
187	3	100	si	false	1793
188	4	200	si	false	1392
189	6	400	si	false	1553
190	4	200	si	false	1112
191	3	800	no	true	949
192	1	400	si	false	3179
193	6	1200	no	true	1241
194	1	100	si	false	1145
195	1	400	no	true	1697
196	3	300	no	true	930
197	1	300	no	true	1046
198	6	800	no	true	1071
199	6	100	si	false	999
200	5	100	no	true	2190
201	5	400	no	true	1165
202	6	1200	no	true	1044
203	5	1200	no	true	974
204	2	100	si	false	1262
205	6	50	si	false	1653
206	6	200	no	true	1652
207	0	0	si	true	1374
208	1	200	si	false	2591
209	1	50	si	false	1065
210	3	50	si	false	1107
211	5	50	si	false	944
212	6	50	si	false	1350
213	3	800	no	true	1184
214	2	300	no	true	2251
215	5	200	si	false	971
216	4	1200	no	true	1144
217	0	0	si	true	895
218	4	50	si	false	959
219	0	0	si	true	704
220	3	400	si	false	828
221	3	50	no	true	1060
222	3	200	si	false	1057
223	6	200	si	false	909
224	1	200	si	false	1307
225	0	0	si	true	1045
226	2	300	no	true	1106
227	4	1200	no	true	1216
228	4	400	no	true	1278
229	4	300	no	true	2333
230	4	300	si	false	1456
231	4	100	si	false	1178
232	5	300	no	true	1683
233	2	400	si	false	990
234	4	100	si	false	1670
235	5	800	no	true	1005
236	6	300	si	false	945
237	3	300	no	true	1299
238	1	800	no	true	1060
239	6	100	si	false	3428
240	5	200	si	false	1351
241	2	400	si	false	2434
242	2	200	si	false	1337
243	5	1200	no	true	995
244	5	400	no	true	1246
245	4	50	si	false	923
246	4	800	no	true	2036
247	3	200	no	true	1960
248	4	800	no	true	1346
249	3	400	si	false	1417
250	0	0	si	true	958
251	2	50	si	false	1222
252	3	400	no	true	1269
253	3	200	si	false	1054
254	3	800	no	true	2037
255	2	400	no	true	2167
256	6	50	no	true	1552
257	2	300	si	false	1908
258	4	400	no	true	1776
259	1	200	no	true	1840
260	4	100	no	true	3687
261	4	100	si	false	1446
262	4	300	si	false	1181
263	4	800	no	true	1398
264	2	200	si	false	855
265	3	100	si	false	1116
266	4	50	si	false	1292
267	5	800	no	true	2886
268	6	300	no	true	1653
269	1	50	no	true	2924
270	6	400	no	true	1192
271	0	0	no	false	1256
272	6	1200	no	true	1267
273	2	400	no	true	1392
274	2	100	no	true	2558
275	5	100	si	false	1007
276	5	200	si	false	1765
277	0	0	si	true	2088
278	0	0	si	true	1188
279	2	100	no	true	1921
280	1	400	no	true	1058
281	5	1200	no	true	934
282	6	1200	no	true	946
283	4	400	si	false	2905
284	0	0	si	true	1413
285	2	200	si	false	2285
286	3	50	si	false	997
287	5	200	si	false	856
288	5	100	si	false	1285
289	6	200	no	true	1497
290	3	100	si	false	2059
291	3	200	no	true	1318
292	4	800	si	false	1122
293	4	300	si	false	889
294	5	50	si	false	1029
295	3	400	no	true	893
296	5	800	no	true	1237
297	2	50	no	true	1152
298	5	400	no	true	2368
299	1	50	no	true	1603
300	2	300	si	false	1471
301	6	100	no	true	1216
302	5	300	si	false	894
303	0	0	si	true	1123
304	1	100	si	false	1525
305	4	200	si	false	2023
306	1	100	no	true	1583
307	6	800	no	true	1634
308	4	200	no	true	1896
309	1	800	no	true	962
310	6	300	no	true	1194
311	6	100	si	false	1408
312	6	50	si	false	2481
313	3	300	no	true	1856
314	2	50	si	false	1088
315	5	400	no	true	1489
316	3	800	no	true	936
317	4	50	si	false	969
318	2	800	no	true	1427
319	5	50	si	false	1416
320	4	1200	no	true	1068
321	6	200	no	true	2019
322	4	1200	no	true	1173
323	6	400	no	true	1377
324	5	1200	no	true	1056
325	1	200	no	true	1213
326	1	300	no	true	1049
327	1	800	no	true	1038
328	3	300	no	true	1664
329	1	400	no	true	1048
330	6	800	no	true	996
331	2	800	no	true	1283
332	5	300	no	true	1414
333	1	300	no	true	916
334	3	50	si	false	1313
335	0	0	si	true	1484
